,AUD,BRL,CAD,CHF,CNY,DKK,EUR,GBP,HKD,INR,JPY,KRW,MXN,NZD,RUB,SEK,SGD,TRY,USD,ZAR
AUD,1.0,3.7244,0.8842,0.52,4.6505,4.1907,0.5617,0.4799,4.9224,54.4891,90.8068,906.4028,12.7494,1.0744,52.53,6.2521,0.8369,24.1944,0.6346,12.0686
BRL,0.2685,1.0,0.2369,0.1394,1.2498,1.1233,0.1505,0.1291,1.3207,14.656,24.4225,243.4979,3.4247,0.2884,14.0771,1.6681,0.2249,6.5121,0.1708,3.2339
CAD,1.1308,4.2216,1.0,0.5882,5.2637,4.7388,0.6351,0.5429,5.5791,61.658,102.7584,1025.8934,14.4163,1.2145,59.4038,7.0689,0.9468,27.4167,0.7182,13.6411
CHF,1.9233,7.1718,1.7002,1.0,8.9444,8.0564,1.0794,0.923,9.4693,104.7951,174.6822,1744.6658,24.5115,2.0659,100.9797,12.0102,1.6084,46.5451,1.2205,23.182
CNY,0.215,0.8001,0.19,0.1118,1.0,0.9019,0.1208,0.1033,1.0607,11.7178,19.5395,195.0998,2.7421,0.2312,11.2983,1.341,0.18,5.2126,0.1366,2.5936
DKK,0.2386,0.8902,0.211,0.1241,1.1088,1.0,0.134,0.1144,1.1747,12.9861,21.6615,216.188,3.0424,0.2565,12.5684,1.4925,0.1995,5.777,0.1514,2.8788
EUR,1.7804,6.6448,1.5746,0.9264,8.2812,7.4648,1.0,0.8545,8.7742,97.0285,161.7473,1615.4848,22.7087,1.9141,93.5159,11.1331,1.4898,43.1574,1.1302,21.4741
GBP,2.0839,7.745,1.842,1.0834,9.683,8.7394,1.1702,1.0,10.2611,113.4292,189.2397,1889.148,26.5618,2.2396,109.3747,13.036,1.7436,50.4839,1.3227,25.1462
HKD,0.2031,0.7572,0.1792,0.1056,0.9427,0.8513,0.114,0.09746,1.0,11.0421,18.445,183.877,2.586,0.2184,10.6545,1.2659,0.1699,4.9128,0.1289,2.4449
INR,0.01835,0.06823,0.01622,0.009543,0.08534,0.07701,0.01031,0.008816,0.09056,1.0,1.668,16.631,0.2335,0.01972,0.9648,0.1145,0.01536,0.4444,0.01165,0.2212
JPY,0.01101,0.04095,0.009732,0.005725,0.05118,0.04616,0.006183,0.005284,0.05422,0.5995,1.0,9.9854,0.1403,0.01183,0.578,0.06874,0.009212,0.2667,0.006988,0.1328
KRW,0.001103,0.004116,0.00097476,0.00057318,0.005126,0.004626,0.00061901,0.00052934,0.005438,0.06015,0.1001,1.0,0.01405,0.001185,0.05795,0.006839,0.00092314,0.02669,0.00070081,0.0133
MXN,0.07844,0.292,0.06937,0.0408,0.3647,0.3287,0.04404,0.03765,0.3874,4.2828,7.1263,71.2561,1.0,0.08431,4.1279,0.4914,0.06565,1.8993,0.0498,0.9479
NZD,0.9308,3.4671,0.8234,0.484,4.3236,3.899,0.5227,0.4467,4.5809,50.7091,84.5258,843.3044,11.8617,1.0,48.9037,5.8174,0.779,22.5208,0.5906,11.2272
RUB,0.01904,0.07104,0.01683,0.009903,0.08851,0.07957,0.01069,0.009143,0.09386,1.0366,1.7303,17.2579,0.2423,0.02045,1.0,0.1189,0.01594,0.4605,0.0121,0.2295
SEK,0.1602,0.5982,0.1414,0.08326,0.7446,0.67,0.08984,0.07673,0.7878,8.7385,14.547,145.6291,2.0351,0.1721,8.4088,1.0,0.1339,3.8727,0.1015,1.9279
SGD,1.1949,4.4455,1.0562,0.6217,5.557,5.0117,0.6712,0.5735,5.8861,65.0947,108.5595,1083.2546,15.2333,1.2837,62.749,7.4664,1.0,28.981,0.7587,14.4192
TRY,0.04131,0.1536,0.03647,0.02148,0.1918,0.1731,0.02317,0.01981,0.2035,2.2505,3.7496,37.4355,0.5262,0.0444,2.1718,0.2579,0.03451,1.0,0.0262,0.4979
USD,1.5752,5.8534,1.3924,0.8194,7.3223,6.6066,0.8848,0.756,7.7581,85.7831,143.0956,1426.929,20.0809,1.6933,82.6787,9.8539,1.318,38.1635,1.0,19.0023
ZAR,0.08286,0.3094,0.07331,0.04314,0.3856,0.3474,0.04657,0.03977,0.4087,4.5209,7.528,75.3045,1.055,0.08907,4.3576,0.5187,0.06935,2.0084,0.0526,1.0
